staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
55,0.5,2.0,65.72884569998132,,65.71226239996031,65.72884569998132,66.21117879997473,66.21117879997473,66.24411299999338,66.51121069997316,66.84524199995212,left,-2.0,1,1,0.618538599985186,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
56,0.5,1.5,66.86045290000038,,66.84533479996026,66.86045290000038,67.35980969999218,67.35980969999218,67.35980969999218,67.65973670000676,67.97680469998159,left,-1.5,1,1,0.6033671000041068,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
57,0.5,1.5,67.99272679997375,,67.97691119997762,67.99272679997375,68.47658600000432,68.47658600000432,68.4929690999561,68.79209909995552,69.19285279995529,left,-1.5,1,1,0.7014762000180781,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
58,0.5,1.5,69.20885019999696,,69.19294489995809,69.20885019999696,69.70816499995999,69.70816499995999,69.72596599999815,70.00743900000816,70.54185929999221,left,-1.5,1,1,0.8315392999793403,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
59,0.5,1.0,70.55726460000733,,70.5419539999566,70.55726460000733,71.05685870000161,71.05685870000161,71.05685870000161,71.35648029996082,71.67365789995529,left,-1.0,1,1,0.6014349999604747,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
60,0.5,1.0,71.689528399962,,71.67374649998965,71.689528399962,72.1891667000018,72.1891667000018,72.1891667000018,72.48876179999206,72.67313069995726,left,-1.0,0,0,0.4759455999592319,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
61,0.5,1.5,72.68838469998445,,72.673226599989,72.68838469998445,73.18856989999767,73.18856989999767,73.18856989999767,73.48786589998053,73.73887719999766,right,1.5,1,1,0.5366683999891393,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
62,0.5,1.5,73.75438919995213,,73.73903070000233,73.75438919995213,74.25398239999777,74.25398239999777,74.25398239999777,74.5532393999747,74.88845049997326,left,-1.5,1,1,0.6313518000533804,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
63,0.5,1.5,74.90312709996942,,74.8885398999555,74.90312709996942,75.40279199997894,75.40279199997894,75.40279199997894,75.70260319998488,75.85392849997152,right,1.5,1,1,0.44841999997152016,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
64,0.5,1.0,75.86895599996205,,75.85405309998896,75.86895599996205,76.36888399999589,76.36888399999589,76.36888399999589,76.66855879995273,77.25327479996486,right,1.0,1,1,0.8811547999503091,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
65,0.5,1.0,77.26802620000672,,77.25338999996893,77.26802620000672,77.76745539996773,77.76745539996773,77.76745539996773,78.06710509996628,78.38413809996564,right,1.0,1,1,0.6062024999991991,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
66,0.5,1.0,78.40050960000372,,78.38423189998139,78.40050960000372,78.89972589997342,78.89972589997342,78.89972589997342,79.19963149999967,79.55013819999294,left,-1.0,1,1,0.6417300999746658,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
