trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr&,Fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,num_distr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
80,0,80,0,142.26357260000077,,142.23235780000687,,142.26357260000077,142.26357260000077,0.020274700000300072,144.6521630000061,[0.3574074074074074],[0.4425925925925926],[1],[0],[0],[2.400035400001798],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
81,0,81,0,144.68843989999732,,144.65667009999743,,144.68843989999732,144.68843989999732,0.019717000002856366,145.90080420000595,[0.2898148148148148],[0.22685185185185186],[1],[0],[0],[1.2247611000057077],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
82,0,82,0,145.95689620000485,,145.90532459999667,10,145.95689620000485,145.95689620000485,0.035262300007161684,147.29381899999862,[0.3351851851851852],[0.41574074074074074],[1],[0],[0],[1.3532036999968113],[],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
83,0,83,0,147.33214820000285,,147.29912680000416,,147.33214820000285,147.33214820000285,0.021715700000640936,148.5819657999964,[0.4759259259259259],[0.4824074074074074],[1],[0],[0],[1.2618851000006543],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
84,0,84,0,148.61960150000232,,148.58659340000304,,148.61960150000232,148.61960150000232,0.020690699995611794,149.76524849999987,[0.19074074074074074],[0.26851851851851855],[1],[0],[0],[1.158432800002629],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
85,0,85,0,149.80424680000579,,149.76972500000556,,149.80424680000579,149.80424680000579,0.022182200002134778,151.04628409999714,[-0.03148148148148148],[0.025],[1],[0],[0],[1.2547284000029322],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
86,0,86,0,151.0848388000013,,151.05100819999643,,151.0848388000013,151.0848388000013,0.020818500008317642,152.545283200001,[0.39166666666666666],[-0.075],[1],[0],[0],[1.4738994000072125],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
87,0,87,0,152.60541340000054,,152.54983489999722,10,152.60541340000054,152.60541340000054,0.03861029999097809,154.59394980000798,[0.27037037037037037],[0.34444444444444444],[1],[0],[0],[2.0059135999908904],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
88,0,88,0,154.6556719000073,,154.5989350000018,10,154.6556719000073,154.6556719000073,0.03949500000453554,156.47126459999708,[-0.3685185185185185],[-0.2833333333333333],[1],[0],[0],[1.8332047000003513],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
89,0,89,0,156.52985940000508,,156.47580440000456,10,156.52985940000508,156.52985940000508,0.03787809998902958,157.68046170000162,[-0.32407407407407407],[-0.2537037037037037],[1],[0],[0],[1.1671786999941105],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
90,0,90,0,157.740498500003,,157.68541550000373,10,157.740498500003,157.740498500003,0.03869200000190176,159.897907999999,[0.4601851851851852],[0.43703703703703706],[1],[0],[0],[2.17428170000494],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
91,0,91,0,159.95690520000062,,159.9027511000022,10,159.95690520000062,159.95690520000062,0.03765939999721013,161.69016030000057,[-0.11851851851851852],[-0.008333333333333333],[1],[0],[0],[1.7501312999957008],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
92,0,92,0,161.74959639999724,,161.69469790000585,10,161.74959639999724,161.74959639999724,0.03806649999751244,162.96346910001012,[0.10555555555555556],[0.08611111111111111],[1],[0],[0],[1.2310597999894526],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
93,0,93,0,163.0239206999977,,162.96828800000367,10,163.0239206999977,163.0239206999977,0.0383224999968661,164.3835376000061,[-0.21296296296296297],[-0.13703703703703704],[1],[0],[0],[1.3773489000013797],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
94,0,94,0,164.42119639999873,,164.3882059000025,,164.42119639999873,164.42119639999873,0.02055119999567978,166.23244360000535,[-0.12685185185185185],[-0.05],[1],[0],[0],[1.8241071999946143],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
95,0,95,0,166.29108070000075,,166.23718650000228,10,166.29108070000075,166.29108070000075,0.0374943000060739,167.90059109999856,[0.28703703703703703],[0.03425925925925926],[1],[0],[0],[1.6262624000082724],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
96,0,96,0,167.97054480000224,,167.9053203000076,10,167.97054480000224,167.97054480000224,0.041925900004571304,169.41296570000122,[0.2935185185185185],[-0.225],[1],[0],[0],[1.4661211999919033],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
97,0,97,0,169.4548502999969,,169.41785640000307,,169.4548502999969,169.4548502999969,0.021562199995969422,171.17853869999817,[-0.3296296296296296],[0.2],[1],[0],[0],[1.7395145000045886],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
98,0,98,0,171.2398039999971,,171.18313780000608,10,171.2398039999971,171.2398039999971,0.038565299997571856,173.20104359999823,[0.2],[-0.1259259259259259],[1],[0],[0],[1.9796318000007886],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
99,0,99,0,173.2639485999971,,173.20608170000196,10,173.2639485999971,173.2639485999971,0.040127700005541556,175.22642750000523,[-0.4638888888888889],[0.3472222222222222],[1],[0],[0],[1.9806081000133418],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
100,0,100,0,175.26327260000107,,175.2311747000058,,175.26327260000107,175.26327260000107,0.019930800001020543,176.65675930000725,[-0.3962962962962963],[0.16018518518518518],[1],[0],[0],[1.4060672000050545],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
101,0,101,0,176.7189708000078,,176.66149300000689,10,176.7189708000078,176.7189708000078,0.03960299999744166,178.03986180000356,[-0.4462962962962963],[-0.25277777777777777],[1],[0],[0],[1.3391737999918405],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
102,0,102,0,178.0979282000044,,178.04464480000024,10,178.0979282000044,178.0979282000044,0.03683850000379607,179.243905299998,[-0.4222222222222222],[-0.2611111111111111],[1],[0],[0],[1.1628287000057753],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
